Я українка.	저는 우크라이나 사람이에요.	я	0	0
Вона каже, що їй подобаються квіти.	그녀는 꽃을 좋아한다고 말했다.	подобаються	0	0
Побачимось пізніше!	나중에 보자!	побачимось	0	0
Це син чи донька?	아들이야, 딸이야?	донька	0	0
Пан Танака, здається, пройшов тест.	다나카 씨는 시험에 합격한 것 같습니다.	тест	0	0
Дощ припинився.	비가 그쳤다.	дощ	0	0
Пан Танака, здається, пройшов тест.	다나카 씨는 시험에 합격한 것 같습니다.	пройшов	0	0
Де ти народився?	어디에서 태어나셨습니까?	народився	0	0
Я бажаю вивчати китайську наступного року.	나는 내년에 중국어를 배우고 싶다.	бажаю	0	0
Вона каже, що їй подобаються квіти.	그녀는 꽃을 좋아한다고 말했다.	квіти	0	0
Італія - це дуже красива країна	이탈리아는 아주 아름다운 나라입니다.	країна	0	0
Бог створив небеса і землю.	하느님이 천지를 창조하셨다.	створив	0	0
Бог створив небеса і землю.	하느님이 천지를 창조하셨다.	небеса	0	0
Італія - це дуже красива країна	이탈리아는 아주 아름다운 나라입니다.	красива	0	0
Перепрошую, що змусив вас чекати так довго.	당신을 너무 오래 기다리게 해서 죄송합니다.	змусив	0	0
Хто наступний у черзі?	이제 누구 차례지?	черзі	0	0
Де будинок Тома?	톰의 집은 어디입니까?	тома	0	0
Слава Україні!	우크라이나에 영광을!	україні	0	0
Над Челябінськом у Росії вибухнув астероїд.	소행성이 러시아 첼랴빈스크 위에서 폭발했습니다.	росії	0	0
Токіо — столиця Японії.	도쿄는 일본의 수도입니다.	токіо	0	0
Токіо — столиця Японії.	도쿄는 일본의 수도입니다.	японії	0	0
Я шукаю книги з історії Риму.	나는 로마의 역사에 관한 책을 찾고 있다.	риму	0	0
Я бажаю вивчати китайську наступного року.	나는 내년에 중국어를 배우고 싶다.	вивчати	0	0
Не зрозумійте мене неправильно.	오해하지 마세요.	зрозумійте	0	0
Будь ласка, не вбивай мене.	제발, 절 죽이지 마세요.	вбивай	0	0
Над Челябінськом у Росії вибухнув астероїд.	소행성이 러시아 첼랴빈스크 위에서 폭발했습니다.	вибухнув	0	0
Італія - це дуже красива країна	이탈리아는 아주 아름다운 나라입니다.	італія	0	0
Берлін — столиця Німеччини.	베를린은 독일의 수도입니다.	німеччини	0	0
У Тома низький голос.	톰은 목소리가 낮다.	низький	0	0
Сеул — столиця Південної Кореї.	서울은 한국의 수도입니다.	кореї	0	0
Сеул — столиця Південної Кореї.	서울은 한국의 수도입니다.	південної	0	0
Дженні хоче йти додому?	제니가 집에 가고 싶어해요?	дженні	0	0
Сеул — столиця Південної Кореї.	서울은 한국의 수도입니다.	сеул	0	0
Я бажаю вивчати китайську наступного року.	나는 내년에 중국어를 배우고 싶다.	китайську	0	0
Дощ припинився.	비가 그쳤다.	припинився	0	0
Берлін — столиця Німеччини.	베를린은 독일의 수도입니다.	берлін	0	0
Звіть мене Ізмаїлом.	이스마엘이라고 부르세요.	звіть	0	0
Берлін — столиця Німеччини.	베를린은 독일의 수도입니다.	столиця	0	0
Над Челябінськом у Росії вибухнув астероїд.	소행성이 러시아 첼랴빈스크 위에서 폭발했습니다.	астероїд	0	0
