Nakalimutan ni Sami ang pangalan ni Layla.	Sami forgesis la nomon de Layla.	ang	0	0
Natagpo ko si Rafael sa tsaahang Zuzu rito sa Isla Pantasya sa Sinonesia. Malimit siya nang Venti Latte Blu, at ako naman ay Mayelong Berdeng Tsaang Grande. Dalawang taon na raw si Rafael dito sa Sinonesia sa bisang pangbisita, at gusto niyang maging mamamayan dito. Nagagandahan siya sa kalikasan. Maraming hayop at halaman. Gusto niya ang mga bungang tropikal araw-araw.	Mi renkontis Rafaelon en la teejo Zuzu ĉi tie sur Fantazia Insulo en Sinonezio. Li ofte trinkas je Venti Latte Blu, kaj mi havas mezgrandan glacian verdan teon. Laŭdire Rafaelo estis ĉi tie en Sinonezio dum du jaroj per vizo de vizitanto, kaj li volas esti civitano ĉi tie. Li ŝatas la belecon en la naturo. Estas multaj bestoj kaj plantoj. Li ŝatas tropikajn fruktojn ĉiutage.	naman	0	0
Libre ako; puwede kong gawin o hindi sa kagustuhan ko.	Mi estas libera, povas fari kaj ne fari kion mi volas.	o	0	0
May iniisip si Kuya Gary. Ang ingklinasyon niya ngayon tungkol sa karamihan ng mga tao ay para silang bombilya. Isip yata niyang kung pundido na ang bombilya, talagang absolutong katapusan na. Sabi ko sa kanya'y para akong Vorlon, ang alusyon ko sa mga tagaibang-daigdig sa siyensiyang piksiyong prangkisang Babylon 5.	Frato Gary pensas pri io. Lia emo nun pri plej multaj homoj estas, ke ili estas kiel ampoloj. Li ŝajne pensas, ke se la bulbo ĉesus ŝalti, tio estus absoluta fino. Mi diris al li, ke mi similas al vorlono, mia aludo al la eksterteranoj en la sciencfikcia franĉizo Babylon 5.	ngayon	0	0
May itlog kami.	Ni havas ovojn.	kami	0	0
Nasusunog ang bahay namin at tumitingin kami sa ibang direksiyon.	Nia domo brulas, kaj ni rigardas alidirekten.	namin	0	0
Tulog po sila.	Ili dormas.	sila	0	0
Maaga akong aalis bukas.	Mi morgaŭ frue foriru.	akong	0	0
Para sa Ikaapat na Tao, ang mga Dakilang Utak, walang buhay ang posible kundi ang buhay ng talino; at ang buhay ng talino ay naging walang bunga. Malinaw na isang bagay na higit pa sa isang malaking bahagi ng utak ang kailangan upang malutas ang mas malalim na mga problema sa intelektwal. Samakatuwid, dapat silang lumikha ng bagong kalidad ng utak, o organikong pagbuo ng utak, na may kakayahang makakita o makaunawang imposible sa kasalukuyang estado nito. Kailangan nilang matutunan kung paano gawing muli ang kanilang sariling tisyu sa utak ayon sa isang bagong plano. Sa layuning ito, at bahagyang dahil sa ignoranteng paninibugho sa natural at mas balanseng espesyeng lumikha sa kanila, sinimulan nilang gamitin ang kanilang mga nakuhang espesimen ng espesyeng iyon para sa malaking bagong pagsasagawa ng pananaliksik sa kalikasan ng tisyu ng utak ng tao.	Por la Kvaraj Homoj, la Grandaj Cerboj, ne estis ebla vivo krom la vivo de intelekto; kaj la vivo de intelekto fariĝis senfrukta. Evidente io pli ol nura grandparto de cerbo estis bezonata por la solvado de la pli profundaj intelektaj problemoj. Ili devas do iel krei novan cerbkvaliton, aŭ organikan formadon de cerbo, kapabla je vizio aŭ kompreno neebla en sia nuna stato. Ili devas lerni iel refari siajn proprajn cerbajn histojn laŭ nova plano. Kun ĉi tiu celo, kaj parte pro senscia ĵaluzo de la natura kaj pli ekvilibra specio, kiu ilin kreis, ili komencis uzi siajn kaptitajn specimenojn de tiu specio por granda nova entrepreno de esplorado pri la naturo de homa cerba histo.	kailangan	0	0
Di ko alam kung bakit ka nag-aaral ng Suweko.	Mi ne scias, kial vi lernas la svedan.	bakit	0	0
Pumunta kaya tayo sa sinehan?	Ĉu ni iru al la kinejo?	kaya	0	0
Kung hindi siya pupunta, ikaw dapat ang maghalili sa kanya.	Se li ne povos veni, vi devos anstataŭi lin.	ikaw	0	0
Anong binili mo sa katapusan ng nakalipas na ilang araw?	Finfine kion vi aĉetis antaŭ kelkaj tagoj?	anong	0	0
Di ko gusto ang polusyon sa malalaking lungsod.	Ne plaĉas al mi la poluado de grandaj urboj.	di	0	0
Habang naglalakad sa interseksiyon sa sentrong Vancouver, BC, maraming taon na ang nakalipas, isang babaeng Amerindiya ang tumingin sa akin sa mukha at sinabing, "Huwag kang ngumiti!" Kitang-kita ko sa mukha niya kung gaano talaga pinaghirapan ng dayuhang kulturang kanluranin ang buhay niya.	Promenante tra la zebrostria pasejo en urbocentra Vankuvero, BK, antaŭ multaj jaroj, indiana virino rigardis mian vizaĝon kaj diris: "Ne ridetu!" Mi povis vidi sur ŝia vizaĝo, kiel fremda okcidenta kulturo vere streĉis ŝian vivon.	akin	0	0
Sa lambak na iyon, labis nang karaniwang masiksik at malilim ang gubat.	En tiu ĉi valo la arbaro estas eksterkutime densa kaj ombra.	iyon	0	0
Wala talaga tayong dalandan, pero may ubas.	Ni ne vere havas oranĝojn, sed estas vinberoj.	talaga	0	0
Mas nakakaaburido sa tao ang wikang walang regularidad. Nakakasira ng ulo.	Lingvo sen reguleco pli enuigas homojn. Ĝi estas freneziga.	tao	0	0
Meron kang posporo?	Ĉu vi havas alumetojn?	kang	0	0
Ba't walang asul na gamibeyr?	Kial ne ekzistas bluaj gumursetoj?	walang	0	0
Ayon sa Shinto, sa kamatayan ng tao, may ilang posibleng destinasyon: sa malayong kabila ng karagatang may buhay-bata, sa di kitang mundong astral, sa mundo-ilalim, o kaya sa kabundukan para magguwardiya ng buhay pang pamilya. Sa Shinto, ang paniwala ay may posibilidad na ang tao ay maging "kami." Marami ang kami at kung tawagin minsan ay "kamigami." Kung minsan, ang tawag ng mga Hapones sa Diyos ay "Kami-sama." Malimit din ang kami ay espiritu o anito, di lamang diyos, ang ibig sabihin.	Laŭ ŝintoismo, ĉe la morto de homo, ekzistas pluraj eblaj cellokoj: en la juna vivo for preter la oceano, en la nevidebla astra mondo, en la submondo, aŭ ĉe la montoj por gardi familiajn postvivantojn. En ŝintoismo, la nocio ekzistas, ke homo eble iĝas "kami". Estas multaj el "kami", kaj oni kelkfoje nomas ilin "kamigami". Kelkfoje, la japanoj nomas Dion "Kami-sama". Ofte, "kami" ankaŭ signifas spiritojn aŭ animojn, ne nur diojn.	sabihin	0	0
Huwag mong gisingin.	Ne veku lin.	mong	0	0
Hindi umaandar yung isa.	La alia ne funkcias.	isa	0	0
Kailangan kong magdutsa.	Mi bezonas duŝon.	kong	0	0
Tumuloy umulang malakas pasado nang alas 10 nang umaga ng ika-16 ng Abril ng 2023 rito sa Isla Lulu. Naglakad muli ako. Malamig sa labas. Tapos, nasa pizzeria akong kumakain ng isang pirasong may pepperoni at umiinom ng Diet Cola. Ang tindero ay si Sachet, isang Bumbay na nakikinig sa radyo sa lengguwaheng Hindi, yata. Binabasa ko nang malakas ang Pranses na librong L'Empire romain ni Pierre Grimal, tungkol sa Imperyong Romano. Kaunti ang mga kustomer na dumating sa pizzeria dahil sa ulan.	Daŭre pluvegis post la 10-a matene la 16-an de aprilo de 2023 ĉi tie sur Lulu-insulo. Mi denove marŝis. Estis malvarme ekstere. Poste, mi estis en la picejo manĝante tranĉaĵon kun peperonio kaj trinkante Dietan Kolaon. La vendisto estis Saĉet, baratano, kiu aŭskultis la radion per la hindia lingvo, verŝajne. Mi voĉlegis la franclingvan libron L'Empire romain de Pierre Grimal, pri la Romia Imperio. Malmultaj klientoj venis al la picejo pro la pluvegado.	nang	0	0
Gusto kong gumaling ang aking alam sa wika.	Mi volas plibonigi miajn lingvokonojn.	aking	0	0
Kinausap ko si Michael na Tsino sa kapihang Istarbaks ngayong maaraw na ika-21 ng Setyembre ng 2021. Talagang mas mukha siyang Hapon sa akin at iba. Tinanong niya ako kung "miss" ko raw ang "hometown" ko. Sabi ko, gusto ko ang pareho. Narito na ako sa Isla Lulung matagal na ang sabi ko. Sabi ko, pulang "savannah" ang tinirhan ko sa Pilipinas. Tapos, tiningnan niya ang "savannah" sa smartphone niya. Ang pasaporte raw niya ay sa Tsina, dahil mayroon siyang lupa o rental property sa Guǎngzhōu sa Tsina. Pinag-usapan namin ang korupsiyong internasyonal. Magbibisita raw ang pamilya niya sa Mongolia. Alam kong maganda roon. Mahirap daw sa mga restawran ngayon dahil ng Pandemya. Kung marunong daw akong magluto nang sarili, ang tanong ni Michael. Sabi ko, may sarili akong mga recipe.	Mi parolis kun Miĥaelo la ĉino en la kafejo Starbukso ĉi tiun sunbrilan 21-an de septembro de 2021. Li vere aspektas pli kiel japano laŭ mi kaj aliaj. Li demandis al mi, ĉu mi "sopiras" mian "hejmurbon". Mi diris, ke mi ŝatas ambaŭ. Mi estis sur Lulu-insulo delonge, mi diris. Mi diris, ke ruĝa "savano" estas kie mi loĝis en Filipinoj. Poste, li rigardis "savano" per sia saĝtelefono. Li diris, ke lia pasporto estas de Ĉinio, ĉar li havas teron aŭ lueblajn posedaĵojn en Guǎngzhōu en Ĉinio. Ni parolis pri internacia korupteco. Li diris, ke lia familio vizitos Mongolion. Mi scias, ke estas bele tie. Li diras, ke estas malfacile en restoracioj hodiaŭ pro la Pandemio. Se mi povus kuiri sola, Miĥaelo demandis. Mi diris, ke mi havas miajn proprajn receptojn.	dahil	0	0
Huwag matakot nang mag-ingles na may mali.	Ne timu paroli angle kun eraroj.	huwag	0	0
Gunitain mong nasa balat ko ikaw!	Imagu vin en mia haŭto!	nasa	0	0
Hindi ko alam kung sino yung bata.	Mi ne scias, kiu estas tiu knabo.	yung	0	0
Ipakikita ko sa iyo ang lugar na puwede pang makahinga ang tao.	Mi montru al vi lokon kie oni ankoraŭ povas spiri.	iyo	0	0
Sino ang tumutugtog ng piano?	Kiu ludas la pianon?	sino	0	0
Hindi na uso ang pag-iisip nila.	Ilia pensmaniero estas eksmoda.	nila	0	0
Kita ko ang osong malaki ng gubat.	Mi vidas la urson grandan de la arbaro.	kita	0	0
Pinatay ko ang Diyos.	Mi mortigis Dion.	diyos	0	0
Di alam ni Tomas kung paano igastos ang kanyang pera. Meron siyang konti.	Tom ne scias, kiel elspezi sian monon. Li havas tiom da ĝi.	meron	0	0
Nabanggit ko kay Michael na Tsino ang bisita ko noong Gradong 6 sa Isla Galiano, at nakita ko roon ang maraming harding ahas na iba-ibang kulay sa mga damo. Kinuha ng mga kaklase ko, at nilagay nila sa kahon para iuwi nila sa Isla Lulu. Nakakita raw si Michael ng harding ahas dito sa Isla Lulu, sa malapit sa Daang Numero 7. Hindi ko alam na may ahas pala rito. Sabi ni Michael na hindi siya mamamayan dito, at nagpapabago siya ng kanyang bisang pangbisita bawat taon. Ang asawa at mga anak niya ay mamamayan dito. Sabi ko'y sa Isla Bali sa Indonesia, natikman ko na ang "bunga ng ahas" o "salak" ang tawag doon.	Mi menciis al Miĥaelo la ĉino, ke mi vizitis dum la klaso 6 al Galiano-insulo, kaj tie mi vidis multajn ĝardenajn serpentojn diverskolorajn en la herbo. Miaj samklasanoj prenis ilin, kaj ili metis ilin en skatolojn por porti hejmen al Lulu-insulo. Miĥaelo supozeble vidis ĝardenan serpenton ĉi tie sur Lulu-insulo, proksime al Stratego Numero 7. Mi ne sciis, ke ĉi tie ekzistas serpentoj. Miĥaelo diras, ke li ne estas civitano ĉi tie, kaj li renovigas sian vizitantan vizon ĉiujare. Liaj edzino kaj infanoj estas civitanoj ĉi tie. Mi diris, ke sur Bali-insulo en Indonezio, mi gustumis la "serpentan frukton" aŭ "salak"-on kiel ĝi nomiĝas tie.	sabi	0	0
Heto ang aking blog, na magpapakilala sa akin at maghahayag ukol sa aking pang-araw-araw na buhay.	Jen mia blogo, kiu prezentos min al vi kaj rakontos pri mia ĉiutaga vivo.	buhay	0	0
Hindi ko alam kung saan siya nakatira.	Mi ne scias, kie li loĝas.	saan	0	0
Alam namin ang katotohanan, di lamang sa utak, pero sa puso rin.	Ni konas la veron, ne nure per la racio, sed ankaŭ per la koro.	rin	0	0
Salamat sa ating guni-guni, nasasakop natin ang mga hanggang nalagay tayo sa espasyo-panahon.	Danke al nia imagopovo ni povas venki la limojn, metitajn al ni en spaco kaj tempo.	salamat	0	0
'Wag mong pag-usapan 'to kahit kanino.	Ne parolu al iu ajn pri tio.	wag	0	0
Bata bang lalaki, o babae?	Ĉu knabo aŭ knabino?	bang	0	0
'Wag mong pag-usapan 'to kahit kanino.	Ne parolu al iu ajn pri tio.	to	0	0
Kinausap ko si Michael na Tsino sa kapihang Istarbaks ngayong maaraw na ika-21 ng Setyembre ng 2021. Talagang mas mukha siyang Hapon sa akin at iba. Tinanong niya ako kung "miss" ko raw ang "hometown" ko. Sabi ko, gusto ko ang pareho. Narito na ako sa Isla Lulung matagal na ang sabi ko. Sabi ko, pulang "savannah" ang tinirhan ko sa Pilipinas. Tapos, tiningnan niya ang "savannah" sa smartphone niya. Ang pasaporte raw niya ay sa Tsina, dahil mayroon siyang lupa o rental property sa Guǎngzhōu sa Tsina. Pinag-usapan namin ang korupsiyong internasyonal. Magbibisita raw ang pamilya niya sa Mongolia. Alam kong maganda roon. Mahirap daw sa mga restawran ngayon dahil ng Pandemya. Kung marunong daw akong magluto nang sarili, ang tanong ni Michael. Sabi ko, may sarili akong mga recipe.	Mi parolis kun Miĥaelo la ĉino en la kafejo Starbukso ĉi tiun sunbrilan 21-an de septembro de 2021. Li vere aspektas pli kiel japano laŭ mi kaj aliaj. Li demandis al mi, ĉu mi "sopiras" mian "hejmurbon". Mi diris, ke mi ŝatas ambaŭ. Mi estis sur Lulu-insulo delonge, mi diris. Mi diris, ke ruĝa "savano" estas kie mi loĝis en Filipinoj. Poste, li rigardis "savano" per sia saĝtelefono. Li diris, ke lia pasporto estas de Ĉinio, ĉar li havas teron aŭ lueblajn posedaĵojn en Guǎngzhōu en Ĉinio. Ni parolis pri internacia korupteco. Li diris, ke lia familio vizitos Mongolion. Mi scias, ke estas bele tie. Li diras, ke estas malfacile en restoracioj hodiaŭ pro la Pandemio. Se mi povus kuiri sola, Miĥaelo demandis. Mi diris, ke mi havas miajn proprajn receptojn.	siyang	0	0
Kahit na mabilis ka, hindi ka pa handa.	Kvankam vi rapidis, vi ne estas preta.	kahit	0	0
Handa na ako! Puwede na ba tayong umalis?	Mi estas preta! Ĉu ni povas ekiri?	umalis	0	0
Gaanong kalimit na dapat kang nagpalit ng tren?	Kiom ofte vi devis ŝanĝi la trajnon?	dapat	0	0
Di lamang Ingles ngunit Pranses din ang salita niya.	Ŝi parolas ne nur angle sed ankaŭ france.	din	0	0
Gusto kita dahil sa iyong pag-unawa.	Mi ŝatas vin, pro via komprenemo.	iyong	0	0
Darating kami sa isla pagkatapos ng dalawang araw.	Ni alvenos je la insulo du tagojn poste.	araw	0	0
Siguro, hindi magiging tao ang kinabukasan.	Eble, la estonteco ne estos homa.	siguro	0	0
Pakibigay ng tinapay, po.	Bonvolu doni al mi la panon, mi petas.	po	0	0
Doon, talagang mali ka.	Tie vi certe eraras.	doon	0	0
Mabango ang tsang iyan.	Tiu teo bonodoras.	iyan	0	0
Di alam ni Tomas kung paano igastos ang kanyang pera. Meron siyang konti.	Tom ne scias, kiel elspezi sian monon. Li havas tiom da ĝi.	paano	0	0
Maaari ko bang gawin iyon?	Ĉu mi povus tion fari?	gawin	0	0
Sabi ko kay Michael na Tsinong natikman ko na ang pagkain ng Ethiopia sa restawran sa Vancouver, BC. May malaking parang pankeyk na ang tawag ay "injera," at ginagamit ito para isubo ang ulam nang kamayan.	Mi diris al Miĥaelo la ĉino, ke mi jam gustumis etiopian manĝaĵon en restoracio en Vankuvero, BK. Estis granda krespeskaĵo nomata "inĝera", kaj oni kutimis verŝi la pladon permane per ĝi.	kay	0	0
Bakit parang inaapi kayo? Wala na kayong pagkamagalang sa Internet. Sanay na kayo. Parang barbaridad na. Dapat nasa kuweba kayo.	Kial vi ŝajnas subpremita? Vi ne plu havas interretan ĝentilecon. Vi alkutimiĝas al tio. Estas kiel barbareco. Vi estu en la kaverno.	kayong	0	0
Noong sinaunang panahon, kasama sa pang-aalipin ang lahat ng lahi sa buong mundo.	Pratempe sklaveco inkluzivis ĉiujn rasoj ĉie en la mondo.	noong	0	0
Noong sinaunang panahon, kasama sa pang-aalipin ang lahat ng lahi sa buong mundo.	Pratempe sklaveco inkluzivis ĉiujn rasoj ĉie en la mondo.	mundo	0	0
Ang realidad ay mukhang iba sa kinabukasan na hinintay natin.	La realo aspektas alie ol la estonteco, kiun ni atendis.	iba	0	0
Isa sa mga kawili-wiling kaibigan ko ay si Don, na nagmula sa Xiānggǎng. Magdamag kaming dalawa sa isang makawontong tsaahan, habang pinag-uusapan namin ang siyensiyang piksiyon at esoterikong pilosopiya.	Unu el miaj interesaj amikoj estas Don, kiu devenas de Xiānggǎng. Ni du forbagatelas longajn noktojn ĉe huntuna teejo, dum ni parolas pri sciencfikcio kaj esotera filozofio.	kaibigan	0	0
Talagang tama siya.	Li tute pravas.	tama	0	0
