Nagyeyelo ang ilog ng Moomin.	Muumijoki on jäinen.	ang	0	0
Palagi kong nais na pumunta sa Lambak ng mga Moomin.	Olen aina halunnut mennä Muumilaaksoon.	pumunta	0	0
Naranasan mo na ba ang bahay ng Moomin?	Oletko koskaan ollut Muumitalossa?	bahay	0	0
Isang lalaki ang tumawid sa isang carrier na kalapati at isang loro. Ang resulta ay isang letter parrot na maaaring ulitin ang mensaheng dala nito, sa halip na isang pirasong papel lamang ang dala. Ngunit ang unang biyahe ng ibon ay tumagal ng isang buong oras, kahit na ang carrier na kalapati ay gagawa ng parehong biyahe sa ilang minuto. - Ano ang huminto sa iyo, tanong ng lalaki. - Buweno, ang panahon ay talagang kahanga-hanga, sabi ng ibon at nagpatuloy, - at iyon ang dahilan kung bakit nagpasya akong maglakad sa malayo.	Mies risteytti kirjekyyhkyn ja papukaijan. Tuloksena oli kirjepapukaija, joka pystyi toistamaan kuljetettavan viestin, sen sijaan että olisi vain kantanut paperinpalaa. Mutta linnun ensimmäinen matka kesti kokonaisen tunnin, vaikka kirjekyyhky olisi selvinnyt samasta matkasta minuuteissa. – Mikä sinua pidätti, kysyi mies. – No, sää oli aivan ihana, sanoi lintu ja jatkoi, – ja siksi päätin kävellä matkan.	oras	0	0
Isang lalaki ang tumawid sa isang carrier na kalapati at isang loro. Ang resulta ay isang letter parrot na maaaring ulitin ang mensaheng dala nito, sa halip na isang pirasong papel lamang ang dala. Ngunit ang unang biyahe ng ibon ay tumagal ng isang buong oras, kahit na ang carrier na kalapati ay gagawa ng parehong biyahe sa ilang minuto. - Ano ang huminto sa iyo, tanong ng lalaki. - Buweno, ang panahon ay talagang kahanga-hanga, sabi ng ibon at nagpatuloy, - at iyon ang dahilan kung bakit nagpasya akong maglakad sa malayo.	Mies risteytti kirjekyyhkyn ja papukaijan. Tuloksena oli kirjepapukaija, joka pystyi toistamaan kuljetettavan viestin, sen sijaan että olisi vain kantanut paperinpalaa. Mutta linnun ensimmäinen matka kesti kokonaisen tunnin, vaikka kirjekyyhky olisi selvinnyt samasta matkasta minuuteissa. – Mikä sinua pidätti, kysyi mies. – No, sää oli aivan ihana, sanoi lintu ja jatkoi, – ja siksi päätin kävellä matkan.	buong	0	0
Isang lalaki ang tumawid sa isang carrier na kalapati at isang loro. Ang resulta ay isang letter parrot na maaaring ulitin ang mensaheng dala nito, sa halip na isang pirasong papel lamang ang dala. Ngunit ang unang biyahe ng ibon ay tumagal ng isang buong oras, kahit na ang carrier na kalapati ay gagawa ng parehong biyahe sa ilang minuto. - Ano ang huminto sa iyo, tanong ng lalaki. - Buweno, ang panahon ay talagang kahanga-hanga, sabi ng ibon at nagpatuloy, - at iyon ang dahilan kung bakit nagpasya akong maglakad sa malayo.	Mies risteytti kirjekyyhkyn ja papukaijan. Tuloksena oli kirjepapukaija, joka pystyi toistamaan kuljetettavan viestin, sen sijaan että olisi vain kantanut paperinpalaa. Mutta linnun ensimmäinen matka kesti kokonaisen tunnin, vaikka kirjekyyhky olisi selvinnyt samasta matkasta minuuteissa. – Mikä sinua pidätti, kysyi mies. – No, sää oli aivan ihana, sanoi lintu ja jatkoi, – ja siksi päätin kävellä matkan.	lamang	0	0
Isang lalaki ang tumawid sa isang carrier na kalapati at isang loro. Ang resulta ay isang letter parrot na maaaring ulitin ang mensaheng dala nito, sa halip na isang pirasong papel lamang ang dala. Ngunit ang unang biyahe ng ibon ay tumagal ng isang buong oras, kahit na ang carrier na kalapati ay gagawa ng parehong biyahe sa ilang minuto. - Ano ang huminto sa iyo, tanong ng lalaki. - Buweno, ang panahon ay talagang kahanga-hanga, sabi ng ibon at nagpatuloy, - at iyon ang dahilan kung bakit nagpasya akong maglakad sa malayo.	Mies risteytti kirjekyyhkyn ja papukaijan. Tuloksena oli kirjepapukaija, joka pystyi toistamaan kuljetettavan viestin, sen sijaan että olisi vain kantanut paperinpalaa. Mutta linnun ensimmäinen matka kesti kokonaisen tunnin, vaikka kirjekyyhky olisi selvinnyt samasta matkasta minuuteissa. – Mikä sinua pidätti, kysyi mies. – No, sää oli aivan ihana, sanoi lintu ja jatkoi, – ja siksi päätin kävellä matkan.	nito	0	0
Maraming mga puno sa parke.	Puistossa on paljon puita.	maraming	0	0
Isang lalaki ang tumawid sa isang carrier na kalapati at isang loro. Ang resulta ay isang letter parrot na maaaring ulitin ang mensaheng dala nito, sa halip na isang pirasong papel lamang ang dala. Ngunit ang unang biyahe ng ibon ay tumagal ng isang buong oras, kahit na ang carrier na kalapati ay gagawa ng parehong biyahe sa ilang minuto. - Ano ang huminto sa iyo, tanong ng lalaki. - Buweno, ang panahon ay talagang kahanga-hanga, sabi ng ibon at nagpatuloy, - at iyon ang dahilan kung bakit nagpasya akong maglakad sa malayo.	Mies risteytti kirjekyyhkyn ja papukaijan. Tuloksena oli kirjepapukaija, joka pystyi toistamaan kuljetettavan viestin, sen sijaan että olisi vain kantanut paperinpalaa. Mutta linnun ensimmäinen matka kesti kokonaisen tunnin, vaikka kirjekyyhky olisi selvinnyt samasta matkasta minuuteissa. – Mikä sinua pidätti, kysyi mies. – No, sää oli aivan ihana, sanoi lintu ja jatkoi, – ja siksi päätin kävellä matkan.	panahon	0	0
Isang lalaki ang tumawid sa isang carrier na kalapati at isang loro. Ang resulta ay isang letter parrot na maaaring ulitin ang mensaheng dala nito, sa halip na isang pirasong papel lamang ang dala. Ngunit ang unang biyahe ng ibon ay tumagal ng isang buong oras, kahit na ang carrier na kalapati ay gagawa ng parehong biyahe sa ilang minuto. - Ano ang huminto sa iyo, tanong ng lalaki. - Buweno, ang panahon ay talagang kahanga-hanga, sabi ng ibon at nagpatuloy, - at iyon ang dahilan kung bakit nagpasya akong maglakad sa malayo.	Mies risteytti kirjekyyhkyn ja papukaijan. Tuloksena oli kirjepapukaija, joka pystyi toistamaan kuljetettavan viestin, sen sijaan että olisi vain kantanut paperinpalaa. Mutta linnun ensimmäinen matka kesti kokonaisen tunnin, vaikka kirjekyyhky olisi selvinnyt samasta matkasta minuuteissa. – Mikä sinua pidätti, kysyi mies. – No, sää oli aivan ihana, sanoi lintu ja jatkoi, – ja siksi päätin kävellä matkan.	ngunit	0	0
Isang lalaki ang tumawid sa isang carrier na kalapati at isang loro. Ang resulta ay isang letter parrot na maaaring ulitin ang mensaheng dala nito, sa halip na isang pirasong papel lamang ang dala. Ngunit ang unang biyahe ng ibon ay tumagal ng isang buong oras, kahit na ang carrier na kalapati ay gagawa ng parehong biyahe sa ilang minuto. - Ano ang huminto sa iyo, tanong ng lalaki. - Buweno, ang panahon ay talagang kahanga-hanga, sabi ng ibon at nagpatuloy, - at iyon ang dahilan kung bakit nagpasya akong maglakad sa malayo.	Mies risteytti kirjekyyhkyn ja papukaijan. Tuloksena oli kirjepapukaija, joka pystyi toistamaan kuljetettavan viestin, sen sijaan että olisi vain kantanut paperinpalaa. Mutta linnun ensimmäinen matka kesti kokonaisen tunnin, vaikka kirjekyyhky olisi selvinnyt samasta matkasta minuuteissa. – Mikä sinua pidätti, kysyi mies. – No, sää oli aivan ihana, sanoi lintu ja jatkoi, – ja siksi päätin kävellä matkan.	talagang	0	0
Isang lalaki ang tumawid sa isang carrier na kalapati at isang loro. Ang resulta ay isang letter parrot na maaaring ulitin ang mensaheng dala nito, sa halip na isang pirasong papel lamang ang dala. Ngunit ang unang biyahe ng ibon ay tumagal ng isang buong oras, kahit na ang carrier na kalapati ay gagawa ng parehong biyahe sa ilang minuto. - Ano ang huminto sa iyo, tanong ng lalaki. - Buweno, ang panahon ay talagang kahanga-hanga, sabi ng ibon at nagpatuloy, - at iyon ang dahilan kung bakit nagpasya akong maglakad sa malayo.	Mies risteytti kirjekyyhkyn ja papukaijan. Tuloksena oli kirjepapukaija, joka pystyi toistamaan kuljetettavan viestin, sen sijaan että olisi vain kantanut paperinpalaa. Mutta linnun ensimmäinen matka kesti kokonaisen tunnin, vaikka kirjekyyhky olisi selvinnyt samasta matkasta minuuteissa. – Mikä sinua pidätti, kysyi mies. – No, sää oli aivan ihana, sanoi lintu ja jatkoi, – ja siksi päätin kävellä matkan.	lalaki	0	0
Itinuturi mo ba ang iyong sarili na matatas na mananalita ng Pranses?	Puhutko omasta mielestäsi sujuvasti ranskaa?	sarili	0	0
Hindi magaling magsalita ng Pranses si Juan.	Joni ei osaa puhua ranskaa hyvin.	magaling	0	0
Isang lalaki ang tumawid sa isang carrier na kalapati at isang loro. Ang resulta ay isang letter parrot na maaaring ulitin ang mensaheng dala nito, sa halip na isang pirasong papel lamang ang dala. Ngunit ang unang biyahe ng ibon ay tumagal ng isang buong oras, kahit na ang carrier na kalapati ay gagawa ng parehong biyahe sa ilang minuto. - Ano ang huminto sa iyo, tanong ng lalaki. - Buweno, ang panahon ay talagang kahanga-hanga, sabi ng ibon at nagpatuloy, - at iyon ang dahilan kung bakit nagpasya akong maglakad sa malayo.	Mies risteytti kirjekyyhkyn ja papukaijan. Tuloksena oli kirjepapukaija, joka pystyi toistamaan kuljetettavan viestin, sen sijaan että olisi vain kantanut paperinpalaa. Mutta linnun ensimmäinen matka kesti kokonaisen tunnin, vaikka kirjekyyhky olisi selvinnyt samasta matkasta minuuteissa. – Mikä sinua pidätti, kysyi mies. – No, sää oli aivan ihana, sanoi lintu ja jatkoi, – ja siksi päätin kävellä matkan.	ilang	0	0
Naglakad-lakad ako sa malaking parke.	Kävelin suuressa puistossa.	malaking	0	0
Isang lalaki ang tumawid sa isang carrier na kalapati at isang loro. Ang resulta ay isang letter parrot na maaaring ulitin ang mensaheng dala nito, sa halip na isang pirasong papel lamang ang dala. Ngunit ang unang biyahe ng ibon ay tumagal ng isang buong oras, kahit na ang carrier na kalapati ay gagawa ng parehong biyahe sa ilang minuto. - Ano ang huminto sa iyo, tanong ng lalaki. - Buweno, ang panahon ay talagang kahanga-hanga, sabi ng ibon at nagpatuloy, - at iyon ang dahilan kung bakit nagpasya akong maglakad sa malayo.	Mies risteytti kirjekyyhkyn ja papukaijan. Tuloksena oli kirjepapukaija, joka pystyi toistamaan kuljetettavan viestin, sen sijaan että olisi vain kantanut paperinpalaa. Mutta linnun ensimmäinen matka kesti kokonaisen tunnin, vaikka kirjekyyhky olisi selvinnyt samasta matkasta minuuteissa. – Mikä sinua pidätti, kysyi mies. – No, sää oli aivan ihana, sanoi lintu ja jatkoi, – ja siksi päätin kävellä matkan.	dahilan	0	0
Malapit ang bahay ng Moomin.	Muumitalo on lähellä.	malapit	0	0
Hindi magaling magsalita ng Pranses si Juan.	Joni ei osaa puhua ranskaa hyvin.	magsalita	0	0
Isang lalaki ang tumawid sa isang carrier na kalapati at isang loro. Ang resulta ay isang letter parrot na maaaring ulitin ang mensaheng dala nito, sa halip na isang pirasong papel lamang ang dala. Ngunit ang unang biyahe ng ibon ay tumagal ng isang buong oras, kahit na ang carrier na kalapati ay gagawa ng parehong biyahe sa ilang minuto. - Ano ang huminto sa iyo, tanong ng lalaki. - Buweno, ang panahon ay talagang kahanga-hanga, sabi ng ibon at nagpatuloy, - at iyon ang dahilan kung bakit nagpasya akong maglakad sa malayo.	Mies risteytti kirjekyyhkyn ja papukaijan. Tuloksena oli kirjepapukaija, joka pystyi toistamaan kuljetettavan viestin, sen sijaan että olisi vain kantanut paperinpalaa. Mutta linnun ensimmäinen matka kesti kokonaisen tunnin, vaikka kirjekyyhky olisi selvinnyt samasta matkasta minuuteissa. – Mikä sinua pidätti, kysyi mies. – No, sää oli aivan ihana, sanoi lintu ja jatkoi, – ja siksi päätin kävellä matkan.	maaaring	0	0
Isang lalaki ang tumawid sa isang carrier na kalapati at isang loro. Ang resulta ay isang letter parrot na maaaring ulitin ang mensaheng dala nito, sa halip na isang pirasong papel lamang ang dala. Ngunit ang unang biyahe ng ibon ay tumagal ng isang buong oras, kahit na ang carrier na kalapati ay gagawa ng parehong biyahe sa ilang minuto. - Ano ang huminto sa iyo, tanong ng lalaki. - Buweno, ang panahon ay talagang kahanga-hanga, sabi ng ibon at nagpatuloy, - at iyon ang dahilan kung bakit nagpasya akong maglakad sa malayo.	Mies risteytti kirjekyyhkyn ja papukaijan. Tuloksena oli kirjepapukaija, joka pystyi toistamaan kuljetettavan viestin, sen sijaan että olisi vain kantanut paperinpalaa. Mutta linnun ensimmäinen matka kesti kokonaisen tunnin, vaikka kirjekyyhky olisi selvinnyt samasta matkasta minuuteissa. – Mikä sinua pidätti, kysyi mies. – No, sää oli aivan ihana, sanoi lintu ja jatkoi, – ja siksi päätin kävellä matkan.	parehong	0	0
Isang lalaki ang tumawid sa isang carrier na kalapati at isang loro. Ang resulta ay isang letter parrot na maaaring ulitin ang mensaheng dala nito, sa halip na isang pirasong papel lamang ang dala. Ngunit ang unang biyahe ng ibon ay tumagal ng isang buong oras, kahit na ang carrier na kalapati ay gagawa ng parehong biyahe sa ilang minuto. - Ano ang huminto sa iyo, tanong ng lalaki. - Buweno, ang panahon ay talagang kahanga-hanga, sabi ng ibon at nagpatuloy, - at iyon ang dahilan kung bakit nagpasya akong maglakad sa malayo.	Mies risteytti kirjekyyhkyn ja papukaijan. Tuloksena oli kirjepapukaija, joka pystyi toistamaan kuljetettavan viestin, sen sijaan että olisi vain kantanut paperinpalaa. Mutta linnun ensimmäinen matka kesti kokonaisen tunnin, vaikka kirjekyyhky olisi selvinnyt samasta matkasta minuuteissa. – Mikä sinua pidätti, kysyi mies. – No, sää oli aivan ihana, sanoi lintu ja jatkoi, – ja siksi päätin kävellä matkan.	minuto	0	0
Palagi kong nais na pumunta sa Lambak ng mga Moomin.	Olen aina halunnut mennä Muumilaaksoon.	nais	0	0
Kumain ako sa bahay ng Moomin.	Söin muumitalossa.	kumain	0	0
